ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
354,1,3,1,2,0,0,0,3,2,2,0
355,0,3,1,2,0,0,3,0,2,2,0
356,0,3,0,2,1,0,2,3,2,1,1
357,1,3,1,2,1,0,0,0,2,0,0
358,1,3,0,1,2,1,0,3,2,0,0
359,1,3,1,0,0,1,3,3,2,0,1
360,0,1,1,0,0,1,0,0,3,2,0
361,0,1,0,0,0,1,0,0,3,1,0
362,0,1,1,1,0,1,0,0,3,1,0
363,0,1,1,0,0,0,3,0,3,1,0
364,1,1,0,0,0,0,0,0,3,2,0
365,0,1,0,2,0,0,3,3,3,2,0
366,0,1,1,0,0,0,3,3,3,1,0
367,1,1,1,0,0,0,0,0,3,2,0
368,1,1,0,2,0,0,0,3,3,0,1
369,1,1,1,0,0,0,0,0,3,2,0
370,0,1,0,0,0,0,0,0,3,1,0
371,0,1,0,1,0,0,0,0,3,1,0
372,0,1,0,2,0,0,3,0,3,1,0
373,0,1,1,0,1,0,3,0,3,1,0
374,0,1,1,2,0,1,0,0,3,1,0
375,1,1,0,0,0,0,0,0,3,0,0
376,0,1,1,0,0,0,2,3,3,1,0
377,0,1,0,0,0,0,0,0,3,1,1
378,0,1,1,0,0,0,3,0,3,2,1
379,1,1,0,0,0,0,0,0,3,0,0
380,0,1,0,2,0,1,0,0,3,1,0
381,0,1,1,0,0,1,0,0,3,1,0
382,0,1,1,2,0,1,0,0,3,2,0
383,0,1,0,2,2,1,0,0,3,1,0
384,0,1,1,0,0,0,0,0,3,1,0
385,0,1,1,0,0,0,0,0,3,1,0
386,1,1,0,0,0,0,0,0,3,3,1
387,1,1,1,2,2,0,0,0,3,1,0
388,0,1,1,0,0,1,0,0,3,1,0
389,0,1,1,0,0,0,3,3,3,2,0
390,0,1,0,2,0,0,3,0,3,1,0
391,0,1,1,0,0,1,3,0,3,1,1
392,0,1,1,0,0,1,0,0,3,1,1
393,0,1,1,0,0,0,3,3,3,1,0
394,0,1,1,1,0,0,3,0,3,1,0
395,0,1,0,2,0,0,3,0,3,2,0
396,0,1,1,0,0,0,0,0,3,2,0
397,0,1,1,0,0,0,3,0,3,1,1
398,1,1,0,1,0,0,0,3,3,0,0
399,0,1,0,0,0,0,0,0,3,2,0
400,1,1,0,2,0,0,0,0,3,0,0
401,0,1,0,0,0,1,0,0,3,1,0
402,1,1,1,0,0,1,0,0,3,0,1
403,0,1,0,1,0,1,0,0,3,2,0
404,0,1,1,2,0,1,0,0,3,1,0
405,0,1,1,0,0,1,3,0,3,1,0
406,0,1,0,0,0,0,0,0,3,1,1
407,0,1,0,2,0,1,0,0,3,2,0
408,0,1,1,0,0,0,0,0,3,2,0
409,1,1,0,1,0,0,0,0,3,2,0
410,1,1,1,2,0,0,0,3,3,0,0
411,1,1,1,2,0,0,0,0,3,2,0
412,1,1,1,0,0,0,0,0,3,3,0
413,0,1,0,2,0,0,0,0,3,2,0
414,0,1,1,0,0,0,3,0,3,1,1
415,1,1,1,0,0,0,0,0,3,0,0
416,0,1,0,0,0,0,3,0,3,1,0
417,1,1,1,0,0,0,0,0,3,0,0
418,0,1,1,0,0,0,0,0,3,1,0
419,1,1,0,1,2,0,0,3,3,1,0
420,1,1,1,0,0,0,0,0,3,0,1
421,0,1,1,1,0,1,0,0,3,2,0
422,0,4,1,2,0,0,0,0,3,1,0
423,1,4,0,0,0,0,0,0,3,0,0
424,1,4,0,2,0,0,0,0,3,3,0
425,0,4,1,2,0,0,0,0,3,1,0
426,0,4,0,0,0,0,3,3,3,2,0
427,1,4,1,2,0,1,0,0,3,0,0
428,1,4,1,2,0,1,0,0,3,3,0
429,0,4,1,0,0,0,3,0,3,1,0
430,0,4,0,2,0,0,3,0,3,2,0
431,1,4,1,0,0,0,0,3,3,2,0
432,1,4,0,2,0,0,0,3,3,2,0
433,0,4,1,2,0,0,0,0,3,1,0
434,0,4,1,2,0,0,3,0,3,1,0
435,0,4,0,0,1,0,3,3,3,2,0
436,0,4,0,2,0,0,3,3,3,1,0
437,1,4,0,0,0,1,0,0,3,0,1
438,0,4,1,0,0,1,0,0,3,1,0
439,1,4,0,0,0,0,0,3,3,2,0
440,0,4,0,0,0,1,0,0,3,1,0
441,0,4,1,2,0,1,0,0,3,1,0
442,0,4,0,2,0,1,0,0,3,2,0
443,0,4,1,0,0,1,0,0,3,2,0
444,0,4,0,1,0,1,0,0,3,1,0
445,0,4,0,2,0,1,3,3,3,1,0
446,1,4,1,0,0,0,0,0,3,0,0
447,0,4,0,0,0,0,0,0,3,1,0
448,0,4,1,2,0,1,0,0,3,1,1
449,0,4,0,0,0,0,3,0,3,1,0
450,1,4,0,2,0,0,0,0,3,0,1
451,1,4,1,0,0,1,0,0,3,0,0
452,1,4,1,2,0,0,0,3,3,1,0
453,1,4,1,0,0,0,0,0,3,2,0
454,0,4,0,0,0,0,0,0,3,2,1
455,0,4,1,0,0,0,0,0,3,1,1
456,0,4,1,0,0,1,0,0,3,2,0
457,1,4,1,2,0,1,0,0,3,3,0
458,0,4,1,1,0,1,0,0,3,2,0
459,0,4,0,0,0,0,3,3,3,1,0
460,0,4,1,2,0,1,0,0,3,1,0
461,1,4,0,2,0,0,0,0,3,3,1
462,0,4,0,2,0,0,3,3,3,1,1
463,1,4,0,2,0,0,3,3,3,2,1
464,0,4,1,2,0,0,2,3,3,1,0
465,0,4,0,2,0,0,3,0,3,2,0
466,1,4,0,2,1,0,3,3,3,3,0
467,1,4,1,0,1,0,2,1,3,3,0
468,0,4,1,1,0,1,3,0,3,2,0
469,1,4,1,0,0,0,0,0,3,2,0
470,0,4,1,2,0,0,3,0,3,1,0
471,1,4,0,2,0,0,0,0,3,0,0
472,1,4,1,2,0,0,0,0,3,2,1
473,0,4,1,0,0,0,0,0,3,2,1
474,0,4,1,0,0,1,0,0,3,1,0
475,0,4,1,2,0,1,0,0,3,2,0
476,1,4,0,2,0,0,0,0,3,0,0
477,0,4,1,0,0,1,3,0,3,1,0
478,1,4,1,0,0,0,3,3,3,3,0
479,0,4,1,2,0,0,3,3,3,1,0
480,1,4,0,2,1,0,0,0,3,3,0
481,0,4,0,0,0,1,0,0,3,2,1
482,1,4,1,2,0,0,0,0,3,2,1
483,0,4,0,2,1,0,3,3,3,1,0
484,1,4,0,0,0,0,0,0,3,2,1
485,0,4,1,2,0,0,3,3,3,2,1
486,1,4,0,2,0,0,0,0,3,3,0
487,1,4,1,2,0,0,0,0,3,2,0
488,1,4,0,2,2,0,2,1,3,1,0
489,1,4,0,2,0,0,0,0,3,2,0
490,0,4,1,2,0,1,0,0,3,1,0
491,0,4,0,2,0,0,3,0,3,2,0
492,1,4,0,0,0,0,3,3,3,0,0
493,1,4,1,2,0,0,3,3,3,0,0
494,0,4,1,2,0,0,3,0,3,1,1
495,0,4,1,1,0,0,3,0,3,1,0
496,1,4,1,2,0,0,0,0,3,0,1
497,1,4,1,2,0,0,0,0,3,1,1
498,0,4,1,1,2,0,3,3,3,1,0
499,1,4,0,0,1,1,2,0,3,3,0
500,1,0,1,0,0,0,0,3,3,0,0
501,1,0,1,2,0,0,0,0,3,3,1
502,0,0,1,2,0,1,0,0,3,2,0
503,1,0,0,1,0,0,0,0,3,3,1
504,0,0,0,0,0,1,3,0,3,1,0
505,1,0,0,0,0,1,0,0,3,0,0
506,0,0,0,2,0,1,3,0,3,1,0
507,1,0,0,2,0,0,0,0,3,2,0
508,0,0,0,2,0,0,3,3,3,1,1
509,0,0,1,0,0,0,3,3,3,2,0
510,0,0,1,2,0,0,3,3,3,1,0
511,0,0,0,2,0,0,3,3,3,1,0
512,0,0,1,2,0,0,0,0,3,2,0
513,1,0,0,2,0,0,0,0,3,2,0
514,0,0,1,2,0,0,0,0,3,1,0
515,1,0,0,2,0,1,0,0,3,3,1
516,0,0,1,2,0,1,0,0,3,1,1
517,0,0,0,2,0,1,0,0,3,2,0
518,1,0,1,2,0,1,0,0,3,2,0
519,0,0,0,0,0,0,0,0,3,2,0
520,1,0,1,0,0,0,3,3,3,2,1
521,0,0,0,0,1,0,3,3,3,2,0
522,0,0,0,2,0,0,3,3,3,1,1
523,1,0,1,0,0,0,0,0,3,0,0
524,0,0,1,2,0,0,0,0,3,2,0
525,0,0,1,2,0,0,3,3,3,1,0
526,1,0,0,2,1,0,0,0,3,0,0
527,1,0,0,1,0,1,0,3,3,0,0
528,0,0,1,2,2,0,3,0,3,1,0
529,0,0,0,0,0,0,3,3,3,1,0
