ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
176,0,31,Male,Single,8000,Frist-Hand,1130435.58,5.00E+05,120,4.158,Average_Capital_Plus_Interest_Repayment
177,1,31,Male,Married,4800,Second-Hand,320000,1.00E+05,120,5.049,Average_Capital_Plus_Interest_Repayment
178,0,31,Female,Married,5000,Frist-Hand,626235,280000,120,5.049,Average_Capital_Plus_Interest_Repayment
179,0,32,Male,Married,3100,Second-Hand,284154.3,60000,120,5.346,Average_Capital_Plus_Interest_Repayment
180,0,32,Female,Married,19000,Frist-Hand,1306557.64,560000,120,4.158,Matching_The_Principal_Repayment
181,0,32,Female,Unknown,12000,Frist-Hand,1127193.04,510000,120,4.158,Average_Capital_Plus_Interest_Repayment
182,0,32,Male,Married,15000,Frist-Hand,1246304.82,520000,120,4.158,Average_Capital_Plus_Interest_Repayment
183,0,32,Female,Married,4600,Frist-Hand,599361.59,280000,120,4.158,Average_Capital_Plus_Interest_Repayment
184,1,32,Male,Single,20000,Frist-Hand,377472,260000,120,6.6555,Average_Capital_Plus_Interest_Repayment
185,1,32,Male,Single,20000,Frist-Hand,378608,260000,120,6.6555,Average_Capital_Plus_Interest_Repayment
186,1,32,Female,Married,8200,Second-Hand,391015,280000,120,6.6555,Average_Capital_Plus_Interest_Repayment
187,0,32,Female,Single,12000,Frist-Hand,1111065.09,490000,120,5.049,Average_Capital_Plus_Interest_Repayment
188,0,32,Male,Married,16000,Frist-Hand,969173.12,410000,120,5.049,Matching_The_Principal_Repayment
189,1,32,Male,Single,8000,Frist-Hand,745083,370000,120,5.814,Average_Capital_Plus_Interest_Repayment
190,1,32,Male,Married,19000,Frist-Hand,857606,6.00E+05,120,6.6555,Average_Capital_Plus_Interest_Repayment
191,0,32,Female,Married,12850,Frist-Hand,1464685.74,310000,120,5.049,Average_Capital_Plus_Interest_Repayment
192,0,32,Female,Married,8500,Frist-Hand,463771.26,190000,120,4.158,Average_Capital_Plus_Interest_Repayment
193,0,32,Female,Married,30000,Frist-Hand,3148049.49,1350000,120,4.158,Matching_The_Principal_Repayment
194,0,32,Female,Married,0,Frist-Hand,935026.89,410000,120,4.158,Average_Capital_Plus_Interest_Repayment
195,0,32,Male,Married,19000,Frist-Hand,1066194.7,490000,120,4.158,Matching_The_Principal_Repayment
196,1,32,Male,Married,20,Second-Hand,1107710,650000,120,6.12,Average_Capital_Plus_Interest_Repayment
197,0,33,Male,Married,12000,Second-Hand,1024357.48,260000,120,4.158,Matching_The_Principal_Repayment
